,language,project_name,total_commits,html_url
89,Java,facebook/fresco,2720,https://github.com/facebook/fresco
90,Java,google/guava,5400,https://github.com/google/guava
91,Java,geekxh/hello-algorithm,360,https://github.com/geekxh/hello-algorithm
92,Java,zxing/zxing,3567,https://github.com/zxing/zxing
93,Java,lottie-react-native/lottie-react-native,467,https://github.com/lottie-react-native/lottie-react-native
94,Java,Yalantis/uCrop,340,https://github.com/Yalantis/uCrop
95,Java,dianping/cat,7302,https://github.com/dianping/cat
96,Java,arduino/Arduino,7281,https://github.com/arduino/Arduino
97,Java,qiurunze123/miaosha,216,https://github.com/qiurunze123/miaosha
98,Java,scwang90/SmartRefreshLayout,1065,https://github.com/scwang90/SmartRefreshLayout
99,Java,CymChad/BaseRecyclerViewAdapterHelper,1202,https://github.com/CymChad/BaseRecyclerViewAdapterHelper
100,Java,MisterBooo/LeetCodeAnimation,241,https://github.com/MisterBooo/LeetCodeAnimation
101,Java,lipangit/JiaoZiVideoPlayer,1858,https://github.com/lipangit/JiaoZiVideoPlayer
102,Java,Konloch/bytecode-viewer,297,https://github.com/Konloch/bytecode-viewer
103,Java,jeasonlzy/okhttp-OkGo,250,https://github.com/jeasonlzy/okhttp-OkGo
104,JavaScript,facebook/react-native,21466,https://github.com/facebook/react-native
105,JavaScript,ccxt/ccxt,34544,https://github.com/ccxt/ccxt
106,JavaScript,twbs/bootstrap,20310,https://github.com/twbs/bootstrap
107,JavaScript,laurent22/joplin,5222,https://github.com/laurent22/joplin
108,JavaScript,nodejs/node,32336,https://github.com/nodejs/node
109,JavaScript,freeCodeCamp/freeCodeCamp,26559,https://github.com/freeCodeCamp/freeCodeCamp
110,JavaScript,gorhill/uBlock,8400,https://github.com/gorhill/uBlock
111,JavaScript,mrdoob/three.js,35783,https://github.com/mrdoob/three.js
112,JavaScript,jhipster/generator-jhipster,27448,https://github.com/jhipster/generator-jhipster
113,JavaScript,mui-org/material-ui,15417,https://github.com/mui-org/material-ui
114,JavaScript,sveltejs/svelte,6031,https://github.com/sveltejs/svelte
115,JavaScript,marktext/marktext,1453,https://github.com/marktext/marktext
116,JavaScript,gatsbyjs/gatsby,17322,https://github.com/gatsbyjs/gatsby
117,JavaScript,mozilla/pdf.js,13179,https://github.com/mozilla/pdf.js
118,JavaScript,snowpackjs/snowpack,2359,https://github.com/snowpackjs/snowpack
119,JavaScript,gchq/CyberChef,2818,https://github.com/gchq/CyberChef
120,JavaScript,quasarframework/quasar,8909,https://github.com/quasarframework/quasar
121,JavaScript,Automattic/mongoose,12856,https://github.com/Automattic/mongoose
122,JavaScript,facebook/react,13711,https://github.com/facebook/react
123,JavaScript,ColorlibHQ/AdminLTE,1699,https://github.com/ColorlibHQ/AdminLTE
124,JavaScript,nwjs/nw.js,4332,https://github.com/nwjs/nw.js
125,JavaScript,plotly/plotly.js,21444,https://github.com/plotly/plotly.js
126,JavaScript,RocketChat/Rocket.Chat,18989,https://github.com/RocketChat/Rocket.Chat
127,JavaScript,framework7io/framework7,6162,https://github.com/framework7io/framework7
128,JavaScript,appium/appium,7201,https://github.com/appium/appium
129,JavaScript,vercel/next.js,7416,https://github.com/vercel/next.js
130,JavaScript,serverless/serverless,13262,https://github.com/serverless/serverless
131,JavaScript,NodeBB/NodeBB,21043,https://github.com/NodeBB/NodeBB
132,JavaScript,youzan/vant,6785,https://github.com/youzan/vant
133,JavaScript,prettier/prettier,5036,https://github.com/prettier/prettier
134,JavaScript,odoo/odoo,139631,https://github.com/odoo/odoo
135,JavaScript,be5invis/Iosevka,2162,https://github.com/be5invis/Iosevka
136,JavaScript,processing/p5.js,8632,https://github.com/processing/p5.js
137,JavaScript,transloadit/uppy,7905,https://github.com/transloadit/uppy
138,JavaScript,ampproject/amphtml,17729,https://github.com/ampproject/amphtml
139,JavaScript,handsontable/handsontable,6931,https://github.com/handsontable/handsontable
140,JavaScript,babel/babel,14104,https://github.com/babel/babel
141,JavaScript,josdejong/mathjs,4309,https://github.com/josdejong/mathjs
142,JavaScript,Kong/insomnia,2581,https://github.com/Kong/insomnia
143,JavaScript,aframevr/aframe,6007,https://github.com/aframevr/aframe
144,JavaScript,photonstorm/phaser,16003,https://github.com/photonstorm/phaser
145,JavaScript,scutan90/DeepLearning-500-questions,1260,https://github.com/scutan90/DeepLearning-500-questions
146,JavaScript,GoogleChrome/lighthouse,4329,https://github.com/GoogleChrome/lighthouse
147,JavaScript,NervJS/taro,6338,https://github.com/NervJS/taro
148,JavaScript,strapi/strapi,14918,https://github.com/strapi/strapi
149,JavaScript,emberjs/ember.js,20244,https://github.com/emberjs/ember.js
150,JavaScript,swagger-api/swagger-ui,4603,https://github.com/swagger-api/swagger-ui
151,JavaScript,nolimits4web/swiper,1894,https://github.com/nolimits4web/swiper
152,JavaScript,naptha/tesseract.js,620,https://github.com/naptha/tesseract.js
153,JavaScript,jupyterlab/jupyterlab,22306,https://github.com/jupyterlab/jupyterlab
154,JavaScript,Automattic/wp-calypso,44111,https://github.com/Automattic/wp-calypso
155,JavaScript,jitsi/jitsi-meet,7992,https://github.com/jitsi/jitsi-meet
156,JavaScript,codesandbox/codesandbox-client,4917,https://github.com/codesandbox/codesandbox-client
157,JavaScript,cypress-io/cypress,14500,https://github.com/cypress-io/cypress
158,JavaScript,netlify/netlify-cms,3151,https://github.com/netlify/netlify-cms
159,JavaScript,goldbergyoni/nodebestpractices,2134,https://github.com/goldbergyoni/nodebestpractices
160,JavaScript,eggjs/egg,945,https://github.com/eggjs/egg
161,JavaScript,azl397985856/leetcode,1125,https://github.com/azl397985856/leetcode
162,JavaScript,atom/atom,38015,https://github.com/atom/atom
163,JavaScript,artf/grapesjs,3367,https://github.com/artf/grapesjs
164,JavaScript,meteor/meteor,23113,https://github.com/meteor/meteor
165,JavaScript,jgraph/drawio,1506,https://github.com/jgraph/drawio
166,JavaScript,mermaid-js/mermaid,3139,https://github.com/mermaid-js/mermaid
167,JavaScript,pouchdb/pouchdb,4694,https://github.com/pouchdb/pouchdb
168,JavaScript,fabricjs/fabric.js,4217,https://github.com/fabricjs/fabric.js
169,JavaScript,sampotts/plyr,2037,https://github.com/sampotts/plyr
170,JavaScript,adobe/brackets,17845,https://github.com/adobe/brackets
171,JavaScript,nhn/tui.editor,1998,https://github.com/nhn/tui.editor
